country,vaccine,year,immunization_coverage
fsm,dtp3,2014,77.0
fsm,dtp3,2015,72.0
fsm,dtp3,2016,69.0
fsm,dtp3,2017,73.0
gab,bcg,1982,82.0
gab,bcg,1983,80.0
gab,bcg,1984,77.0
gab,bcg,1985,80.0
gab,bcg,1986,90.0
gab,bcg,1987,95.0
gab,bcg,1988,95.0
gab,bcg,1989,96.0
gab,bcg,1990,96.0
gab,bcg,1991,97.0
gab,bcg,1992,97.0
gab,bcg,1993,97.0
gab,bcg,1994,94.0
gab,bcg,1995,90.0
gab,bcg,1996,90.0
gab,bcg,1997,90.0
gab,bcg,1998,90.0
gab,bcg,1999,89.0
gab,bcg,2000,89.0
gab,bcg,2001,90.0
gab,bcg,2002,90.0
gab,bcg,2003,91.0
gab,bcg,2004,91.0
gab,bcg,2005,92.0
gab,bcg,2006,92.0
gab,bcg,2007,92.0
gab,bcg,2008,93.0
gab,bcg,2009,93.0
gab,bcg,2010,94.0
gab,bcg,2011,94.0
gab,bcg,2012,97.0
gab,bcg,2013,92.0
gab,bcg,2014,91.0
gab,bcg,2015,98.0
gab,bcg,2016,94.0
gab,bcg,2017,93.0
gab,dtp1,1983,36.0
gab,dtp1,1984,46.0
gab,dtp1,1985,56.0
gab,dtp1,1986,66.0
gab,dtp1,1987,76.0
gab,dtp1,1988,86.0
gab,dtp1,1989,96.0
gab,dtp1,1990,96.0
gab,dtp1,1991,94.0
gab,dtp1,1992,92.0
gab,dtp1,1993,88.0
gab,dtp1,1994,85.0
gab,dtp1,1995,81.0
gab,dtp1,1996,78.0
gab,dtp1,1997,75.0
gab,dtp1,1998,72.0
gab,dtp1,1999,69.0
gab,dtp1,2000,69.0
gab,dtp1,2001,69.0
gab,dtp1,2002,69.0
gab,dtp1,2003,69.0
gab,dtp1,2004,69.0
gab,dtp1,2005,69.0
gab,dtp1,2006,69.0
gab,dtp1,2007,86.0
gab,dtp1,2008,85.0
gab,dtp1,2009,81.0
gab,dtp1,2010,82.0
gab,dtp1,2011,82.0
gab,dtp1,2012,86.0
gab,dtp1,2013,80.0
gab,dtp1,2014,77.0
gab,dtp1,2015,87.0
gab,dtp1,2016,83.0
gab,dtp1,2017,81.0
gab,dtp3,1983,14.0
gab,dtp3,1984,31.0
gab,dtp3,1985,48.0
gab,dtp3,1986,59.0
gab,dtp3,1987,65.0
gab,dtp3,1988,72.0
gab,dtp3,1989,78.0
gab,dtp3,1990,78.0
gab,dtp3,1991,72.0
gab,dtp3,1992,66.0
gab,dtp3,1993,67.0
gab,dtp3,1994,69.0
gab,dtp3,1995,70.0
gab,dtp3,1996,62.0
gab,dtp3,1997,54.0
gab,dtp3,1998,50.0
gab,dtp3,1999,45.0
gab,dtp3,2000,45.0
gab,dtp3,2001,45.0
gab,dtp3,2002,45.0
gab,dtp3,2003,45.0
gab,dtp3,2004,45.0
gab,dtp3,2005,45.0
gab,dtp3,2006,45.0
gab,dtp3,2007,81.0
gab,dtp3,2008,82.0
gab,dtp3,2009,76.0
gab,dtp3,2010,67.0
gab,dtp3,2011,75.0
gab,dtp3,2012,82.0
gab,dtp3,2013,79.0
gab,dtp3,2014,70.0
gab,dtp3,2015,80.0
gab,dtp3,2016,75.0
gab,dtp3,2017,75.0
gbr,dtp1,1980,66.0
gbr,dtp1,1981,71.0
gbr,dtp1,1982,77.0
gbr,dtp1,1983,81.0
gbr,dtp1,1984,85.0
gbr,dtp1,1985,85.0
gbr,dtp1,1986,86.0
gbr,dtp1,1987,90.0
gbr,dtp1,1988,91.0
gbr,dtp1,1989,92.0
gbr,dtp1,1990,94.0
gbr,dtp1,1991,96.0
gbr,dtp1,1992,97.0
gbr,dtp1,1993,97.0
gbr,dtp1,1994,97.0
gbr,dtp1,1995,97.0
gbr,dtp1,1996,97.0
gbr,dtp1,1997,97.0
gbr,dtp1,1998,97.0
gbr,dtp1,1999,97.0
gbr,dtp1,2000,97.0
gbr,dtp1,2001,97.0
gbr,dtp1,2002,97.0
gbr,dtp1,2003,97.0
gbr,dtp1,2004,97.0
gbr,dtp1,2005,97.0
gbr,dtp1,2006,97.0
gbr,dtp1,2007,97.0
gbr,dtp1,2008,97.0
gbr,dtp1,2009,97.0
gbr,dtp1,2010,98.0
gbr,dtp1,2011,98.0
gbr,dtp1,2012,98.0
gbr,dtp1,2013,98.0
gbr,dtp1,2014,98.0
gbr,dtp1,2015,98.0
gbr,dtp1,2016,98.0
gbr,dtp1,2017,98.0
gbr,dtp3,1980,41.0
gbr,dtp3,1981,46.0
gbr,dtp3,1982,53.0
gbr,dtp3,1983,59.0
gbr,dtp3,1984,65.0
gbr,dtp3,1985,65.0
gbr,dtp3,1986,67.0
gbr,dtp3,1987,73.0
gbr,dtp3,1988,75.0
gbr,dtp3,1989,78.0
gbr,dtp3,1990,84.0
gbr,dtp3,1991,88.0
gbr,dtp3,1992,92.0
gbr,dtp3,1993,93.0
gbr,dtp3,1994,93.0
gbr,dtp3,1995,94.0
gbr,dtp3,1996,94.0
gbr,dtp3,1997,92.0
gbr,dtp3,1998,91.0
gbr,dtp3,1999,92.0
gbr,dtp3,2000,91.0
gbr,dtp3,2001,91.0
gbr,dtp3,2002,91.0
gbr,dtp3,2003,91.0
gbr,dtp3,2004,92.0
gbr,dtp3,2005,91.0
gbr,dtp3,2006,92.0
gbr,dtp3,2007,92.0
gbr,dtp3,2008,92.0
gbr,dtp3,2009,93.0
gbr,dtp3,2010,94.0
gbr,dtp3,2011,95.0
gbr,dtp3,2012,95.0
gbr,dtp3,2013,95.0
gbr,dtp3,2014,95.0
gbr,dtp3,2015,95.0
gbr,dtp3,2016,94.0
gbr,dtp3,2017,94.0
geo,bcg,1992,67.0
geo,bcg,1993,30.0
geo,bcg,1994,30.0
geo,bcg,1995,70.0
geo,bcg,1996,70.0
geo,bcg,1997,76.0
geo,bcg,1998,94.0
geo,bcg,1999,95.0
geo,bcg,2000,95.0
geo,bcg,2001,94.0
geo,bcg,2002,91.0
geo,bcg,2003,87.0
geo,bcg,2004,91.0
geo,bcg,2005,95.0
geo,bcg,2006,95.0
geo,bcg,2007,96.0
geo,bcg,2008,95.0
geo,bcg,2009,95.0
geo,bcg,2010,96.0
geo,bcg,2011,96.0
geo,bcg,2012,95.0
geo,bcg,2013,95.0
geo,bcg,2014,96.0
geo,bcg,2015,96.0
geo,bcg,2016,98.0
geo,bcg,2017,96.0
geo,dtp1,1992,80.0
geo,dtp1,1993,77.0
geo,dtp1,1994,80.0
geo,dtp1,1995,91.0
geo,dtp1,1996,90.0
geo,dtp1,1997,88.0
geo,dtp1,1998,87.0
geo,dtp1,1999,88.0
geo,dtp1,2000,89.0
geo,dtp1,2001,97.0
geo,dtp1,2002,96.0
geo,dtp1,2003,95.0
geo,dtp1,2004,88.0
geo,dtp1,2005,91.0
geo,dtp1,2006,99.0
geo,dtp1,2007,99.0
geo,dtp1,2008,99.0
geo,dtp1,2009,99.0
geo,dtp1,2010,99.0
geo,dtp1,2011,98.0
geo,dtp1,2012,94.0
geo,dtp1,2013,99.0
geo,dtp1,2014,99.0
geo,dtp1,2015,97.0
geo,dtp1,2016,97.0
geo,dtp1,2017,98.0
geo,dtp3,1992,58.0
geo,dtp3,1993,54.0
geo,dtp3,1994,58.0
geo,dtp3,1995,79.0
geo,dtp3,1996,80.0
geo,dtp3,1997,80.0
geo,dtp3,1998,80.0
